s_video_id,e_width,e_height,t_average_bitrate,predicted_vmaf
418.0,960.0,540.0,3313.0,86.77376361825844
418.0,1280.0,720.0,5359.0,93.49631983427739
418.0,1920.0,1080.0,10548.0,96.59618817411936
418.0,640.0,360.0,1728.0,70.85730102228496
418.0,1920.0,1080.0,8302.0,96.0111860089847
418.0,768.0,432.0,2269.0,78.86439520062267
418.0,416.0,234.0,863.0,41.19955119273108
418.0,1280.0,720.0,4052.0,90.80857503217145
418.0,960.0,540.0,2530.0,84.62982483157532
418.0,640.0,360.0,1323.0,67.85443171082154
418.0,768.0,432.0,1732.0,77.65326809358825
418.0,416.0,234.0,666.0,37.68117589297369
418.0,1280.0,720.0,3070.0,87.98536244350441
418.0,960.0,540.0,1931.0,80.7336070870696
418.0,640.0,360.0,1016.0,62.7216122924622
418.0,768.0,432.0,1326.0,72.22516160577878
418.0,1920.0,1080.0,6515.0,96.28281272000953
418.0,416.0,234.0,512.0,33.858960616497995
418.0,1920.0,1080.0,4968.0,94.47990015713246
418.0,1280.0,720.0,2333.0,86.34101894055893
418.0,960.0,540.0,1480.0,77.42759511357153
418.0,1920.0,1080.0,3800.0,92.15806357016443
418.0,768.0,432.0,1015.0,67.71913596388968
418.0,640.0,360.0,778.0,60.69587534341017
418.0,416.0,234.0,393.0,31.768160747965247
418.0,1280.0,720.0,1787.0,82.36153244223895
418.0,640.0,360.0,599.0,54.271463675718685
418.0,768.0,432.0,779.0,65.30999011703769
418.0,416.0,234.0,301.0,27.006705103020533
418.0,960.0,540.0,1138.0,73.93184257318934
418.0,1920.0,1080.0,2890.0,89.79566155706802
418.0,1280.0,720.0,1380.0,77.68927312223306
418.0,640.0,360.0,462.0,50.48041810372947
418.0,960.0,540.0,882.0,68.9841552497339
418.0,768.0,432.0,600.0,59.67178839887006
418.0,416.0,234.0,231.0,23.54013102289763
418.0,1920.0,1080.0,2198.0,86.0803361949255
418.0,1280.0,720.0,1072.0,72.89456840125726
418.0,960.0,540.0,686.0,63.01367955280585
418.0,640.0,360.0,358.0,45.851441346809125
418.0,768.0,432.0,466.0,53.14172123205033
418.0,416.0,234.0,178.0,19.483000761044863
418.0,1920.0,1080.0,1196.0,72.88128653179292
418.0,960.0,540.0,373.0,47.34759498683219
418.0,1280.0,720.0,588.0,57.576532317982725
418.0,640.0,360.0,195.0,30.34130214707467
418.0,768.0,432.0,255.0,37.27657982964315
418.0,1920.0,1080.0,686.0,56.26392901890923
418.0,416.0,234.0,96.0,9.917902545795108
418.0,1280.0,720.0,338.0,42.06672569260383
418.0,960.0,540.0,213.0,30.49433815142426
418.0,640.0,360.0,110.0,16.78249458134225
418.0,768.0,432.0,146.0,22.81193661182642
418.0,416.0,234.0,54.0,2.5846536314948256
418.0,1920.0,1080.0,405.0,37.50383340665222
418.0,1280.0,720.0,198.0,22.130802133421593
418.0,640.0,360.0,63.0,5.017351939203111
418.0,960.0,540.0,125.0,14.819894224437636
418.0,768.0,432.0,84.0,8.655172026518223
418.0,416.0,234.0,31.0,-0.2727218790053604
418.0,1920.0,1080.0,236.0,18.73761310867016
418.0,960.0,540.0,69.0,3.0934832743271197
418.0,640.0,360.0,33.0,0.3584452758511742
418.0,1280.0,720.0,112.0,7.552541526858012
418.0,768.0,432.0,46.0,1.8684364662249853
418.0,416.0,234.0,16.0,0.17321131351882976
418.0,1920.0,1080.0,213.0,18.98747884957353
418.0,640.0,360.0,30.0,0.3451563515293073
418.0,960.0,540.0,60.0,1.8998568107023657
418.0,1280.0,720.0,100.0,4.973592081016905
418.0,768.0,432.0,40.0,0.9401461547531955
418.0,416.0,234.0,15.0,0.2632298800394428
419.0,640.0,360.0,1194.0,70.06093257248045
419.0,960.0,540.0,2348.0,84.88983322719776
419.0,1920.0,1080.0,7672.0,96.244414211521
419.0,1280.0,720.0,3766.0,91.01543773823614
419.0,768.0,432.0,1589.0,77.50422374282411
419.0,1920.0,1080.0,5866.0,95.79965171404211
419.0,960.0,540.0,1794.0,82.0946375201826
419.0,416.0,234.0,571.0,41.01314643969693
419.0,640.0,360.0,927.0,67.8266425754873
419.0,1280.0,720.0,2828.0,89.44901090434496
419.0,768.0,432.0,1222.0,74.9808085538766
