,s_video_id,e_crf,e_width,e_height,e_codec_profile,e_codec_level,t_average_bitrate,t_average_vmaf
144,420,18,640,360,main,30,2027,78.351909
145,420,18,1280,720,main,31,6046,97.906606
146,420,18,1920,1080,high,40,11982,99.774819
147,420,18,960,540,main,31,3741,93.533855
148,420,18,768,432,main,30,2602,86.536538
149,420,20,1920,1080,high,40,9473,99.650521
150,420,18,416,234,main,13,1068,48.766179
151,420,20,1280,720,main,31,4521,96.629501
152,420,20,960,540,main,31,2840,91.135264
153,420,20,640,360,main,30,1558,75.154773
154,420,20,768,432,main,30,1984,83.608679
155,420,20,416,234,main,13,827,45.602136
156,420,22,1920,1080,high,40,7417,99.383906
157,420,22,1280,720,main,31,3407,94.579351
158,420,22,960,540,main,31,2174,88.059599
159,420,22,768,432,main,30,1527,80.049461
160,420,22,640,360,main,30,1204,71.316796
161,420,22,416,234,main,13,642,41.991889
162,420,22,1280,720,main,31,3407,94.579351
163,420,22,1920,1080,high,40,7417,99.383906
164,420,22,640,360,main,30,1204,71.316796
165,420,22,960,540,main,31,2174,88.059599
166,420,22,768,432,main,30,1527,80.049461
167,420,22,416,234,main,13,642,41.991889
168,420,24,1920,1080,high,40,5727,98.777209
169,420,24,960,540,main,31,1682,84.279784
170,420,24,1280,720,main,31,2598,91.630257
171,420,24,640,360,main,30,937,66.838944
172,420,24,768,432,main,30,1185,75.766508
173,420,24,416,234,main,13,499,37.935129
174,420,26,960,540,main,31,1316,79.782094
175,420,26,640,360,main,30,734,61.750967
176,422,18,960,540,main,31,1448,79.66475
177,422,18,1280,720,main,31,2404,88.150366
178,422,18,1920,1080,high,40,6527,97.462923
179,422,18,640,360,main,30,742,63.788067
180,422,18,768,432,main,30,984,72.013435
181,422,18,416,234,main,13,371,37.930042
182,422,20,1920,1080,high,40,4516,96.813517
183,422,20,960,540,main,31,1082,78.405985
184,422,20,1280,720,main,31,1758,87.18077
185,422,20,640,360,main,30,566,62.085909
186,422,20,768,432,main,30,745,70.505998
187,422,22,1280,720,main,31,1293,85.956944
188,422,20,416,234,main,13,288,36.061533
189,422,22,1920,1080,high,40,3108,95.973819
190,422,22,960,540,main,31,813,76.850044
191,422,22,640,360,main,30,432,59.957419
192,422,22,768,432,main,30,565,68.609805
193,422,22,416,234,main,13,221,33.829274
194,422,22,1920,1080,high,40,3108,95.973819
195,422,22,1280,720,main,31,1293,85.956944
196,422,22,960,540,main,31,813,76.850044
197,422,22,640,360,main,30,432,59.957419
198,422,22,768,432,main,30,565,68.609805
199,422,22,416,234,main,13,221,33.829274
200,422,24,1920,1080,high,40,2173,94.921558
201,422,24,1280,720,main,31,970,84.441911
202,422,24,640,360,main,30,331,57.47597
203,422,24,768,432,main,30,430,66.367963
204,422,24,960,540,main,31,615,74.948586
205,422,24,416,234,main,13,171,31.34567
206,422,26,1920,1080,high,40,1597,93.649921
207,422,26,1280,720,main,31,750,82.586941
208,422,26,960,540,main,31,481,72.590306
