,s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf
1263,521,1920,1080,43730001,32,0,18,64.25003379,30.10134793,0.0,0.0,0.0,0,0,0.197032697,0.346784658,0.346546103,0.109636542,0.065885467,0.048832374,0.057065935,0.073446061,,,,,18,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,2116,70.932493
3600,640,1920,1080,96251581,76,0,-1,28.82063916,19.5669223,0.0,0.0,0.0,0,0,0.293952868,0.281984793,0.337994309,0.08606803,0.198002358,0.065723021,0.051110246,0.095574121,,,,,30,1280,720,16:09,1:01,h264,1,31,29.97002997,59.94005994,3,1,0,8.0,1,886,76.71207
115,419,1920,1080,7512676,6,0,-1,61.14358,8.838213333,30.0,40.0,0.0,0,0,0.450114294,0.409096579,0.081645287,0.05914384,0.237189388,0.147865455,0.075319437,0.027149209,,,,,35,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,450,60.723629
3390,631,1920,1080,82936225,61,0,18,51.68780652,33.183775,0.0,0.0,0.0,0,0,0.719238683,0.068325617,0.106133777,0.106301923,1.584124749,0.008939645,0.015770196,0.053950616,,,,,35,1280,720,16:09,1:01,h264,1,31,29.97002997,59.94005994,3,1,0,8.0,1,1062,52.419661
3374,631,1920,1080,82936225,61,0,18,51.68780652,33.183775,0.0,0.0,0.0,0,0,0.719238683,0.068325617,0.106133777,0.106301923,1.584124749,0.008939645,0.015770196,0.053950616,,,,,26,640,360,16:09,1:01,h264,1,30,29.97002997,59.94005994,3,1,2,8.0,1,981,56.069427
3207,626,1920,1080,31945504,25,0,-1,27.95929919,18.88836792,0.0,0.0,0.0,0,0,0.315484664,0.286889146,0.256696888,0.140929302,0.197721957,0.051072019,0.029057974,0.09067449,,,,,18,768,432,16:09,1:01,h264,1,30,29.97002997,59.94005994,3,1,1,8.0,1,1492,87.998157
2686,605,1920,1080,80586751,59,0,21,47.64459224,20.15774404,0.0,0.0,0.0,0,0,0.799812886,0.088980999,0.037327675,0.07387844,3.423602886,0.038299254,0.006729283,0.258969851,,,,,50,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,309,26.195527
1926,571,1920,1080,7528482,4,0,4,46.49917431,40.21621101,0.0,0.0,0.0,0,0,0.518016654,0.093281893,0.152754147,0.235947306,0.526581973,0.008060541,0.04143467,0.124411049,,,,,24,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,7752,98.853229
1374,525,1080,1080,76945061,56,0,17,44.15192396,25.16560545,0.0,0.0,0.0,0,0,0.505116598,0.32691158,0.131647805,0.036324017,0.119226775,0.082076685,0.027466964,0.027431825,,,,,35,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,957,50.329296
2410,594,1920,1080,5970385,3,0,13,55.8642125,40.1272125,0.0,0.0,0.0,0,0,0.49852318,0.199970984,0.112560684,0.188945152,0.370762725,0.081109309,0.050410155,0.117485591,0.227953731,0.076772486,0.056502956,0.248223261,55,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,28,5.574883
2644,605,1920,1080,80586751,59,0,21,47.64459224,20.15774404,0.0,0.0,0.0,0,0,0.799812886,0.088980999,0.037327675,0.07387844,3.423602886,0.038299254,0.006729283,0.258969851,,,,,22,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,1559,70.587165
2917,617,1920,1080,29712268,21,0,3,85.80505469,30.98991406,0.0,0.0,0.0,0,0,0.431290831,0.339881366,0.122161298,0.106666506,0.196404551,0.070958668,0.055576281,0.32887807,,,,,18,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,3035,69.501849
150,420,1920,1080,25957287,17,1,-1,63.28670167,27.16095704,0.0,0.0,0.0,0,0,0.699384163,0.234405864,0.056693512,0.009516461,0.304069795,0.094710728,0.014283798,0.009943608,,,,,18,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,1068,48.766179
1408,529,1920,1080,16531345,11,0,-1,39.65743728,21.41779211,0.0,0.0,0.0,0,0,0.272218525,0.331726145,0.298045268,0.098010063,0.131800955,0.04442062,0.057568683,0.064669986,,,,,20,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,4747,94.119614
351,493,1920,1080,4125568,3,0,0,42.383,22.02557813,0.0,0.0,0.0,0,0,0.206434917,0.151555802,0.193191176,0.448818105,0.141978176,0.036750422,0.111064508,0.417493161,0.205495758,0.075496109,0.045113385,0.325269668,26,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,1566,84.793807
1209,517,1920,1080,55691714,37,0,16,66.67963812,41.84506638,0.0,0.0,0.0,0,0,0.263877797,0.447296811,0.193093011,0.095732382,0.100469269,0.170464109,0.081682543,0.034487805,,,,,24,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,4076,87.181214
915,513,1920,1080,25387349,18,0,-1,43.69153289,22.62212939,0.0,0.0,0.0,0,0,0.438652424,0.367373007,0.176922422,0.017052148,0.663963931,0.038395557,0.173409526,0.02723059,,,,,22,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,1351,62.761217
2346,594,1920,1080,5970385,3,0,13,55.8642125,40.1272125,0.0,0.0,0.0,0,0,0.49852318,0.199970984,0.112560684,0.188945152,0.370762725,0.081109309,0.050410155,0.117485591,0.227953731,0.076772486,0.056502956,0.248223261,20,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,5195,94.379883
1748,564,1920,1080,7102270,5,0,23,32.78192857,6.293928571,0.0,0.0,0.0,0,0,0.132334909,0.17446494,0.412738555,0.280461597,0.071962874,0.075896369,0.189326753,0.210972601,0.187146867,0.20257584,0.029756501,0.359966206,45,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,33,0.388862
410,494,1920,1080,53761798,38,0,22,52.43496482,27.01573241,0.0,0.0,0.0,0,0,0.595390625,0.342264339,0.055095968,0.007249068,0.33396846,0.175740858,0.040626985,0.003115222,,,,,22,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,9870,98.670676
1962,571,1920,1080,7528482,4,0,4,46.49917431,40.21621101,0.0,0.0,0.0,0,0,0.518016654,0.093281893,0.152754147,0.235947306,0.526581973,0.008060541,0.04143467,0.124411049,,,,,45,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,468,13.88246
2541,597,1920,1080,65600731,43,0,12,52.04347974,27.78748435,0.0,0.0,0.0,0,0,0.1247817,0.299237236,0.114599569,0.461381494,0.088772601,0.091968582,0.06086434,0.368173463,,,,,45,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,128,11.313902
2985,617,1920,1080,29712268,21,0,3,85.80505469,30.98991406,0.0,0.0,0.0,0,0,0.431290831,0.339881366,0.122161298,0.106666506,0.196404551,0.070958668,0.055576281,0.32887807,,,,,55,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,41,1.748285
967,513,1920,1080,25387349,18,0,-1,43.69153289,22.62212939,0.0,0.0,0.0,0,0,0.438652424,0.367373007,0.176922422,0.017052148,0.663963931,0.038395557,0.173409526,0.02723059,,,,,55,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,77,2.760179
89,419,1920,1080,7512676,6,0,-1,61.14358,8.838213333,30.0,40.0,0.0,0,0,0.450114294,0.409096579,0.081645287,0.05914384,0.237189388,0.147865455,0.075319437,0.027149209,,,,,22,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,353,36.39435
1385,525,1080,1080,76945061,56,0,17,44.15192396,25.16560545,0.0,0.0,0.0,0,0,0.505116598,0.32691158,0.131647805,0.036324017,0.119226775,0.082076685,0.027466964,0.027431825,,,,,45,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,675,30.584712
1085,515,1920,1080,25335328,18,0,10,45.52125,22.38092105,0.0,0.0,0.0,0,0,0.438658372,0.36755353,0.176706051,0.017082047,0.662634993,0.038866894,0.173591048,0.028324742,,,,,35,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,1836,66.736799
1799,565,1920,1080,32088816,24,0,8,54.89797655,19.91498325,0.0,0.0,0.0,0,0,0.075544303,0.153894033,0.423124518,0.347437146,0.109906627,0.042354913,0.069631885,1.105086251,,,,,30,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,2069,88.18291
2221,590,1920,1080,131523770,92,0,21,30.45621048,16.72294323,0.0,0.0,0.0,0,0,0.337243602,0.103700167,0.057886285,0.001169946,0.245421577,0.009007166,0.044849089,0.001300449,0.337243602,0.103700167,0.057886285,0.001169946,26,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,740,79.405755
3703,641,1920,1080,16206082,13,0,-1,98.10453299,25.10008538,0.0,0.0,0.0,0,0,0.283849987,0.307036876,0.258704025,0.150409111,0.14969801,0.022830094,0.071207234,0.05404967,,,,,55,960,540,16:09,1:01,h264,1,32,59.963,119.926,3,1,1,8.0,1,237,0.778029
2849,616,1920,1080,12888070,9,0,19,49.97425116,27.35286977,0.0,0.0,0.0,0,0,0.208043821,0.424129533,0.098948688,0.268877958,0.152244611,0.124383263,0.025376506,1.186827558,,,,,20,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,10393,99.004992
322,489,1920,1080,82496887,59,0,24,50.71130299,23.46897486,0.0,0.0,0.0,0,0,0.26379485,0.338907697,0.220381462,0.176915992,0.071674892,0.049223042,0.062622204,0.112147026,,,,,55,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,74,4.959391
