s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf,t_average_vmaf_mobile,t_average_vmaf_4k,t_average_psnr
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,3313,86.435099,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,5359,92.79183,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,10548,98.482772,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,1728,70.231396,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,8302,97.695917,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,2269,78.877983,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,18,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,863,41.308676,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,4052,90.936701,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,2530,84.174262,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,1323,67.292727,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,1732,76.262335,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,20,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,666,38.516177,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,3070,88.591906,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,1931,81.370898,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,1016,63.8118,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,1326,73.014865,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,6515,96.376794,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,22,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,512,35.205753,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,4968,94.334394,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,2333,85.698812,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,1480,77.929821,,,
